size,array_type,algorithm,time_ms,char_comps
1700,random,msd_radix,0.681766,7652
1700,random,msd_radix_hybrid,0.1664,9810
1700,reverse,std_quicksort,0.193442,56019
1700,reverse,std_mergesort,0.555308,12983
1700,reverse,tsq,0.103183,17733
1700,reverse,string_mergesort,0.584291,10685
1700,reverse,msd_radix,0.298834,7652
1700,reverse,msd_radix_hybrid,0.230158,9676
1700,almost,std_quicksort,0.140333,60767
1700,almost,std_mergesort,0.254225,19000
1700,almost,tsq,0.0404498,16253
1700,almost,string_mergesort,0.192992,15603
1700,almost,msd_radix,0.14295,7652
1700,almost,msd_radix_hybrid,0.07315,9755
1800,random,std_quicksort,0.0885336,61156
1800,random,std_mergesort,0.441283,23909
1800,random,tsq,0.12025,19102
1800,random,string_mergesort,0.487667,19219
1800,random,msd_radix,0.313725,8162
1800,random,msd_radix_hybrid,0.201075,10604
1800,reverse,std_quicksort,0.163383,53950
1800,reverse,std_mergesort,0.23035,14106
1800,reverse,tsq,0.0412666,19049
1800,reverse,string_mergesort,0.191292,11486
1800,reverse,msd_radix,0.149392,8162
1800,reverse,msd_radix_hybrid,0.0713168,10388
1800,almost,std_quicksort,0.0703666,83754
1800,almost,std_mergesort,0.358942,20223
1800,almost,tsq,0.0441914,18814
1800,almost,string_mergesort,0.192058,16607
1800,almost,msd_radix,0.141058,8162
1800,almost,msd_radix_hybrid,0.069517,10372
1900,random,std_quicksort,0.0929336,63032
1900,random,std_mergesort,0.398867,25483
1900,random,tsq,0.0738832,19550
1900,random,string_mergesort,0.265733,20412
1900,random,msd_radix,0.170433,8666
1900,random,msd_radix_hybrid,0.0891416,11383
1900,reverse,std_quicksort,0.0676582,57279
1900,reverse,std_mergesort,0.269058,15127
1900,reverse,tsq,0.0470668,20328
1900,reverse,string_mergesort,0.220467,12251
1900,reverse,msd_radix,0.160992,8666
1900,reverse,msd_radix_hybrid,0.081067,11126
1900,almost,std_quicksort,0.0825752,101506
1900,almost,std_mergesort,0.271492,21300
1900,almost,tsq,0.0479664,18417
1900,almost,string_mergesort,0.214775,17419
1900,almost,msd_radix,0.165608,8666
1900,almost,msd_radix_hybrid,0.084925,11231
2000,random,std_quicksort,0.0966248,65817
2000,random,std_mergesort,0.429467,27123
2000,random,tsq,0.0790084,19924
2000,random,string_mergesort,0.275525,21622
2000,random,msd_radix,0.168292,9184
2000,random,msd_radix_hybrid,0.124934,12186
2000,reverse,std_quicksort,0.070858,67486
2000,reverse,std_mergesort,0.243008,16327
2000,reverse,tsq,0.0503584,21630
